               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072542,            0.025629,            0.020698,             0.45365,             0.60537,             0.48851,             0.24542,            0.034963,           0.0076348,            0.010729,            0.070273,            0.003303,            0.003303
                   1,            0.052491,            0.018127,           0.0092875,             0.60974,             0.75327,             0.71794,             0.41855,            0.034082,           0.0064195,           0.0027534,             0.04024,           0.0066035,           0.0066035
                   2,            0.050953,            0.016497,           0.0053144,               0.635,             0.84324,             0.74534,             0.38495,            0.036527,           0.0058706,           0.0027302,            0.010174,            0.009871,            0.009871
                   3,             0.04706,             0.01601,           0.0048817,             0.79683,             0.78804,             0.80703,             0.36254,            0.033951,           0.0069472,           0.0025848,           0.0098515,           0.0098515,           0.0098515
                   4,            0.041824,            0.015345,           0.0044567,             0.83911,             0.76001,             0.84209,             0.49161,            0.032593,           0.0064136,           0.0030279,           0.0098515,           0.0098515,           0.0098515
                   5,             0.04008,            0.015671,           0.0043455,             0.81117,             0.86514,             0.88231,               0.479,            0.028862,           0.0062492,           0.0013088,            0.009802,            0.009802,            0.009802
                   6,            0.038371,            0.015608,           0.0036326,             0.89522,             0.91644,             0.94934,             0.63932,            0.027876,           0.0053014,            0.001255,           0.0097525,           0.0097525,           0.0097525
                   7,            0.039071,             0.01547,           0.0043126,             0.79867,             0.78196,             0.83461,             0.46331,            0.031905,            0.007014,           0.0017427,            0.009703,            0.009703,            0.009703
                   8,            0.036385,            0.015414,           0.0038604,             0.86659,             0.84567,             0.87828,             0.57178,            0.026072,           0.0061669,           0.0012369,           0.0096535,           0.0096535,           0.0096535
                   9,            0.033985,            0.014751,           0.0030442,             0.94717,             0.94716,             0.96618,             0.63448,            0.027122,           0.0051956,           0.0015164,            0.009604,            0.009604,            0.009604
                  10,            0.032305,            0.014855,           0.0032994,             0.87252,             0.92009,             0.94436,             0.61743,            0.023209,           0.0055708,           0.0012419,           0.0095545,           0.0095545,           0.0095545
                  11,            0.033725,            0.014432,           0.0025655,             0.86502,             0.92679,             0.93702,             0.59809,            0.025269,           0.0052418,          0.00064096,            0.009505,            0.009505,            0.009505
                  12,            0.030972,            0.014602,           0.0023504,             0.95277,             0.92091,             0.97684,             0.69681,            0.023533,           0.0047983,          0.00092066,           0.0094555,           0.0094555,           0.0094555
                  13,            0.031088,            0.013882,           0.0025019,             0.91298,             0.91361,             0.94741,             0.63873,            0.024857,           0.0053981,          0.00077747,            0.009406,            0.009406,            0.009406
                  14,            0.030872,            0.013938,           0.0026864,             0.91223,             0.85844,             0.91152,             0.55705,            0.024467,           0.0058246,           0.0023265,           0.0093565,           0.0093565,           0.0093565
                  15,            0.031741,            0.013885,           0.0022027,             0.85708,              0.9032,             0.93206,               0.599,             0.02532,            0.005039,           0.0021145,            0.009307,            0.009307,            0.009307
                  16,             0.02944,            0.013596,           0.0023554,             0.90268,             0.91503,             0.94461,             0.65655,            0.022687,           0.0049897,          0.00066337,           0.0092575,           0.0092575,           0.0092575
                  17,            0.028174,            0.013337,           0.0020365,             0.96801,             0.95681,             0.97638,             0.67741,            0.022834,           0.0049677,          0.00071884,            0.009208,            0.009208,            0.009208
                  18,            0.030704,            0.012954,           0.0018978,             0.95496,             0.90915,             0.96294,             0.72098,            0.020669,           0.0047699,           0.0010876,           0.0091585,           0.0091585,           0.0091585
                  19,            0.029866,            0.013067,           0.0017468,             0.94476,             0.92417,             0.97556,             0.72705,             0.02313,           0.0047151,            0.001136,            0.009109,            0.009109,            0.009109
                  20,            0.029133,            0.012844,           0.0016349,             0.92492,             0.94139,             0.97333,             0.71651,            0.023106,           0.0045925,          0.00072498,           0.0090595,           0.0090595,           0.0090595
                  21,            0.026529,            0.012554,           0.0018761,             0.91467,             0.93916,             0.96498,             0.70059,            0.022165,           0.0047367,          0.00059341,             0.00901,             0.00901,             0.00901
                  22,            0.028743,            0.012907,           0.0018306,              0.9543,             0.94586,             0.96977,             0.72039,            0.022825,           0.0047235,          0.00072602,           0.0089605,           0.0089605,           0.0089605
                  23,             0.02795,            0.013089,           0.0021292,             0.95929,             0.93419,              0.9726,             0.74862,            0.021141,           0.0047228,           0.0013136,            0.008911,            0.008911,            0.008911
                  24,            0.028203,            0.012819,           0.0026965,             0.94646,             0.92679,             0.96447,              0.7008,            0.023738,            0.005081,          0.00053922,           0.0088615,           0.0088615,           0.0088615
