               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077754,            0.022406,             0.02254,              0.4325,             0.56892,             0.50926,             0.30866,            0.046068,           0.0071064,            0.010761,            0.070273,            0.003303,            0.003303
                   1,            0.053714,            0.018071,           0.0087589,             0.65382,              0.8562,             0.79884,             0.52775,            0.038059,           0.0054743,            0.003893,             0.04024,           0.0066035,           0.0066035
                   2,            0.050395,            0.016737,           0.0055304,             0.91318,             0.88082,             0.95578,             0.46701,             0.03818,           0.0048735,           0.0024261,            0.010174,            0.009871,            0.009871
                   3,            0.045215,            0.015638,           0.0051322,             0.91095,             0.83856,             0.95916,              0.5859,            0.034642,           0.0050068,           0.0067973,           0.0098515,           0.0098515,           0.0098515
                   4,            0.040465,             0.01489,            0.005021,             0.93658,             0.89536,             0.96257,             0.66309,            0.031924,           0.0048935,           0.0032114,           0.0098515,           0.0098515,           0.0098515
                   5,            0.039017,            0.014853,           0.0041907,             0.92857,             0.89582,              0.9574,             0.68014,            0.028552,           0.0051283,           0.0028083,            0.009802,            0.009802,            0.009802
                   6,            0.036305,            0.014875,           0.0039324,             0.94806,             0.90571,             0.97514,             0.68096,            0.028825,           0.0047849,           0.0014021,           0.0097525,           0.0097525,           0.0097525
                   7,            0.036208,            0.014538,           0.0039962,             0.93665,             0.94374,             0.97543,             0.69837,            0.029226,           0.0049024,           0.0011215,            0.009703,            0.009703,            0.009703
                   8,            0.033343,            0.014312,           0.0042128,             0.86883,             0.92723,             0.95082,             0.69995,            0.030187,           0.0051423,           0.0036799,           0.0096535,           0.0096535,           0.0096535
                   9,            0.033237,            0.013654,           0.0028661,             0.96686,             0.91977,              0.9787,             0.73684,            0.025178,           0.0042732,            0.001727,            0.009604,            0.009604,            0.009604
                  10,            0.031399,             0.01402,           0.0035977,             0.98698,             0.95546,             0.98322,             0.76767,            0.026912,           0.0045032,          0.00085896,           0.0095545,           0.0095545,           0.0095545
                  11,            0.030777,            0.013614,           0.0035843,             0.92933,             0.92314,             0.97031,             0.73428,            0.026017,           0.0048538,           0.0012455,            0.009505,            0.009505,            0.009505
                  12,            0.030237,             0.01379,           0.0027141,             0.94787,             0.96145,             0.98016,             0.73009,            0.026749,           0.0045669,          0.00082901,           0.0094555,           0.0094555,           0.0094555
