               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.024844,            0.011551,           0.0016902,             0.90717,             0.92239,             0.96258,             0.70119,            0.023724,            0.005171,          0.00085359,            0.008845,            0.008845,            0.008845
                  37,            0.026321,            0.011927,           0.0015172,             0.96531,             0.94273,             0.98459,             0.76782,            0.020552,           0.0043714,          0.00055804,            0.008812,            0.008812,            0.008812
                  38,            0.025976,            0.012434,           0.0015063,             0.94565,             0.93632,              0.9678,             0.73228,            0.021905,           0.0046756,          0.00076674,            0.008779,            0.008779,            0.008779
                  39,             0.02532,            0.011579,            0.001184,             0.90311,             0.93964,             0.96624,             0.75429,            0.020208,           0.0043641,           0.0011975,            0.008746,            0.008746,            0.008746
                  40,            0.025045,            0.011468,          0.00093119,             0.95569,             0.93723,             0.97071,             0.73892,            0.021313,           0.0048467,          0.00063108,            0.008713,            0.008713,            0.008713
                  41,            0.024624,            0.011555,           0.0010928,             0.92913,             0.95032,             0.97246,             0.73274,            0.020386,           0.0046369,          0.00069713,             0.00868,             0.00868,             0.00868
                  42,            0.023492,             0.01084,           0.0010015,             0.96061,              0.9551,             0.98148,             0.76534,            0.020894,           0.0044835,          0.00051808,            0.008647,            0.008647,            0.008647
                  43,             0.02309,            0.011309,          0.00079186,             0.92411,             0.95726,             0.97521,              0.7684,            0.021376,           0.0043459,          0.00053655,            0.008614,            0.008614,            0.008614
                  44,            0.023616,            0.011403,          0.00088916,             0.97052,             0.92846,             0.96757,             0.75716,            0.021236,            0.004613,           0.0011111,            0.008581,            0.008581,            0.008581
                  45,            0.023644,            0.011387,           0.0013374,             0.97345,             0.93429,              0.9749,             0.76555,            0.020577,           0.0044815,          0.00055134,            0.008548,            0.008548,            0.008548
                  46,            0.023799,            0.011017,           0.0010561,             0.97066,             0.95174,             0.98306,             0.77376,            0.020971,           0.0043996,          0.00041499,            0.008515,            0.008515,            0.008515
                  47,            0.023023,            0.011099,          0.00067623,             0.97832,             0.94079,             0.98195,             0.77846,            0.020751,           0.0043566,          0.00054628,            0.008482,            0.008482,            0.008482
                  48,            0.023242,            0.010782,          0.00096419,             0.97505,             0.95174,             0.97914,             0.75959,            0.020971,           0.0044997,          0.00040673,            0.008449,            0.008449,            0.008449
                  49,             0.02298,            0.010558,          0.00085507,             0.96736,             0.95527,             0.97755,             0.76098,            0.020916,            0.004531,          0.00060951,            0.008416,            0.008416,            0.008416
                  50,            0.023288,            0.011207,           0.0015378,             0.95462,             0.93791,             0.97087,             0.75012,            0.021357,            0.004668,          0.00069289,            0.008383,            0.008383,            0.008383
                  51,            0.022319,            0.010924,           0.0011861,             0.96128,             0.94253,             0.97421,              0.7449,            0.020869,           0.0047882,          0.00053156,             0.00835,             0.00835,             0.00835
                  52,            0.023278,            0.011299,          0.00090621,             0.98139,             0.94607,              0.9792,              0.7457,            0.020573,           0.0043439,          0.00062398,            0.008317,            0.008317,            0.008317
                  53,            0.022696,            0.011059,          0.00078044,             0.93035,             0.96634,             0.97799,             0.78342,            0.020385,            0.004348,           0.0004723,            0.008284,            0.008284,            0.008284
                  54,            0.022151,            0.010719,          0.00094102,             0.97727,              0.9571,              0.9791,             0.77926,            0.020936,           0.0043891,          0.00050615,            0.008251,            0.008251,            0.008251
                  55,            0.022243,            0.010626,          0.00073862,              0.9752,             0.93533,             0.97863,             0.75778,            0.020627,            0.004484,          0.00054982,            0.008218,            0.008218,            0.008218
                  56,            0.022249,            0.010501,          0.00083842,             0.95586,              0.9586,             0.97998,             0.77576,            0.021275,           0.0045179,          0.00032724,            0.008185,            0.008185,            0.008185
                  57,            0.023274,            0.010792,           0.0016986,             0.97388,             0.90474,             0.97445,             0.77257,            0.020606,           0.0046105,          0.00086601,            0.008152,            0.008152,            0.008152
